"Fund Name","NAV","YTD Profit","6M Profit","1Y Profit","3Y Profit","5Y Profit","Classification","Risk Type","Min. Invest Amount"
"ATRAM Global Bond Income Feeder Fund - PHP   ATRGBIP https://storage.investa.ph/files/Fund/49/DP/49_1686041630.png","99.671033","0.95%","1.50%","5.93%","13.63%","-1.50%","UITF","Aggressive","Php 1,000.00"
"ALFM Peso Bond Fund   AYLFFIF https://storage.investa.ph/files/Fund/2/DP/2_1660029141.png","423.95","0.95%","0.49%","2.70%","10.12%","13.55%","Mutual Fund","Moderate","Php 1,000.00"
"ATRAM Global Health Care Feeder Fund   ATRGHCP https://storage.investa.ph/files/Fund/52/DP/52_1686041646.png","108.640277","0.83%","2.46%","14.77%","8.06%","0.00%","UITF","Aggressive","Php 1,000.00"
"Sun Life Prosperity Philippine Equity Fund   SNCPPEA https://storage.investa.ph/files/Fund/13/DP/13_1635957169.png","3.2282","0.57%","-4.72%","-6.83%","-3.70%","-6.45%","Mutual Fund","Aggressive","Php 1,000.00"
"Sun Life Prosperity Balanced Fund   SNCPRBA https://storage.investa.ph/files/Fund/11/DP/11_1635956089.png","3.4528","0.55%","-2.52%","-2.34%","2.81%","-0.48%","Mutual Fund","Moderate","Php 1,000.00"
"PhilEquity Peso Bond Fund, Inc.   PHILMMF https://storage.investa.ph/files/Fund/24/DP/24_1636110081.png","4.3174","0.06%","-0.43%","1.60%","9.51%","8.35%","Mutual Fund","Conservative","Php 1,000.00"
"ATRAM Philippine Sustainable Development and Growth Fund - A CLASS   ATRSDGA https://storage.investa.ph/files/Fund/51/DP/51_1686041641.png","115.845519","-0.13%","-6.26%","0.00%","18.77%","12.27%","UITF","Aggressive","Php 1,000.00"
"BPI Global Equity Fund-of-Funds Class P - PHP   GEFOFPH https://storage.investa.ph/files/Fund/73/DP/73_1781789124.png","99.3","-0.70%","0.00%","0.00%","0.00%","0.00%","UITF","Aggressive","Php 1,000.00"
"PhilEquity Alpha One Fund, Inc.   PHILAOF https://storage.investa.ph/files/Fund/20/DP/20_1636129891.png","0.9363","-0.87%","-5.67%","-3.44%","-8.80%","-12.59%","Mutual Fund","Aggressive","Php 1,000.00"
"ATRAM Global Consumer Trends Feeder Fund - PHP   ATRCTRP https://storage.investa.ph/files/Fund/50/DP/50_1686041636.png","207.706989","-1.05%","7.73%","5.95%","62.47%","12.88%","UITF","Aggressive","Php 1,000.00"
"Sun Life Prosperity Bond Fund   SNCPRBF https://storage.investa.ph/files/Fund/17/DP/17_1635957343.png","3.452","-2.76%","-3.56%","-1.66%","7.27%","7.10%","Mutual Fund","Moderate","Php 1,000.00"
"Sun Life Prosperity GS Fund   SNLPRGS https://storage.investa.ph/files/Fund/18/DP/18_1635957432.png","1.8317","-2.79%","-3.59%","-1.46%","6.20%","4.45%","Mutual Fund","Moderate","Php 1,000.00"
"ATRAM Peso Diversified Income Fund   ATRPDIF https://storage.investa.ph/files/Fund/55/DP/55_1686041659.png","102.985224","-2.98%","-4.34%","-3.54%","3.18%","0.00%","UITF","Aggressive","Php 1,000.00"
